Customer ID,Order ID,Product ID,Order Priority,Ship Mode,Ship Date,Quantity,Profit,Order Date,Location Id,Discount,Sales,Shipping Cost
AA-106451406,CA-2016-AA10645140-41081,FUR-CH-5536,High,Standard Class,26-06-2016,3,-4.8588,21-06-2016,UnitePennsChester,0.3,181.913,19.06
AA-106451406,CA-2016-AA10645140-41081,TEC-PH-5566,High,Standard Class,26-06-2016,3,-15.1767,21-06-2016,UnitePennsChester,0.4,91.615,8.36
AA-106451406,CA-2016-AA10645140-41243,FUR-FU-5091,High,First Class,02-12-2016,3,15.5856,30-11-2016,UniteMassaLowell,0,46.435,5.84
AA-106451406,CA-2016-AA10645140-41243,FUR-FU-6331,High,First Class,02-12-2016,2,3.2406,30-11-2016,UniteMassaLowell,0,10.94333333,1.27
AA-106451406,CA-2016-AA10645140-41243,TEC-PH-3795,High,First Class,02-12-2016,2,78.851,30-11-2016,UniteMassaLowell,0,271.9,62.54
AA-1064556,IN-2016-AA1064556-41110,TEC-PH-5340,Medium,Standard Class,26-07-2016,2,46.08,20-07-2016,Hong Hong Kowloon,0,178.2957143,14.25
AA-1064558,IN-2016-AA1064558-40934,OFF-AR-3469,Low,Standard Class,01-02-2016,7,54.6,26-01-2016,IndiaTelanHyderabad,0,427.6011111,13.22
AA-1064564,ES-2016-AA1064564-41268,OFF-LA-6029,Low,Standard Class,31-12-2016,1,5.4,25-12-2016,ItalyCampaNaples,0,15.5525,1.33
AA-1064582,MX-2016-AA1064582-41264,OFF-FA-2956,Medium,First Class,24-12-2016,6,14.4,21-12-2016,MexicCoahuTorreón,0,62.405,5.095
AA-315134,TU-2016-AA315134-41067,OFF-ST-6024,High,First Class,10-06-2016,1,-5.85,07-06-2016,TurkeBalikBalikesir,0.6,4.68,1.71
AA-375103,PL-2016-AA375103-41060,OFF-BI-4825,High,Standard Class,04-06-2016,1,3.42,31-05-2016,PolanLodzLodz,0,8.385,1.68
AA-375103,PL-2016-AA375103-41060,OFF-ST-6065,High,Standard Class,04-06-2016,1,6.3,31-05-2016,PolanLodzLodz,0,62.94333333,6.03
AA-375103,PL-2016-AA375103-41060,TEC-AC-4179,High,Standard Class,04-06-2016,1,6.45,31-05-2016,PolanLodzLodz,0,70.19,7.4
AA-375110,SA-2016-AA375110-41153,OFF-AR-6108,Medium,Standard Class,07-09-2016,2,46.32,01-09-2016,SaudiMakkaJeddah,0,146.11,7.79
AA-4804,AO-2016-AA4804-41080,FUR-CH-4629,Medium,Standard Class,24-06-2016,1,5.67,20-06-2016,AngolBieKuito,0,55.16,4.58
AA-4804,AO-2016-AA4804-41080,OFF-AR-6120,Medium,Standard Class,24-06-2016,2,2.22,20-06-2016,AngolBieKuito,0,80.63,2.24
AA-4804,AO-2016-AA4804-41080,OFF-FA-2952,Medium,Standard Class,24-06-2016,2,6.48,20-06-2016,AngolBieKuito,0,30.326,3.71
AA-4804,AO-2016-AA4804-41080,OFF-ST-6031,Medium,Standard Class,24-06-2016,2,2.52,20-06-2016,AngolBieKuito,0,332.014,22.91
AA-6453,AG-2016-AA6453-41020,FUR-CH-4547,High,First Class,24-04-2016,2,53.76,21-04-2016,AlgerAlgerAlgiers,0,341.3,47.5
AA-64595,NI-2016-AA64595-41247,OFF-BI-3186,Medium,Standard Class,08-12-2016,2,-31.182,04-12-2016,NigerLagosLagos,0.7,22.583,1.06
AA-64595,NI-2016-AA64595-41247,OFF-FA-6202,Medium,Standard Class,08-12-2016,1,-2.682,04-12-2016,NigerLagosLagos,0.7,2.358,1.14
AB-10015139,ES-2016-AB10015139-41002,OFF-AR-3490,High,Standard Class,08-04-2016,2,13.68,03-04-2016,UniteScotlEdinburgh,0,56.9075,10.03
AB-10015139,ES-2016-AB10015139-41002,OFF-LA-5404,High,Standard Class,08-04-2016,3,16.2,03-04-2016,UniteScotlEdinburgh,0,37.935,3.09
AB-100151402,CA-2016-AB10015140-40958,OFF-ST-3078,Low,Standard Class,25-02-2016,2,-2.5248,19-02-2016,UniteTexasArlington,0.2,12.624,1.97
AB-100151404,CA-2016-AB10015140-40974,FUR-CH-4421,High,First Class,07-03-2016,1,5.4801,06-03-2016,UniteWashiSeattle,0.2,48.712,11.13
AB-100151404,CA-2016-AB10015140-40974,OFF-AR-5309,High,First Class,07-03-2016,3,4.6644,06-03-2016,UniteWashiSeattle,0,17.94,4.29
AB-100151404,CA-2016-AB10015140-40974,OFF-ST-3744,High,First Class,07-03-2016,3,4.8588,06-03-2016,UniteWashiSeattle,0,287.11,1.28
AB-1001518,MX-2016-AB1001518-41195,TEC-AC-5128,High,Standard Class,17-10-2016,3,22.74,13-10-2016,BraziSão PBarueri,0,99.608,8.917
AB-1001564,ES-2016-AB1001564-40988,OFF-LA-4551,Critical,First Class,23-03-2016,7,6.93,20-03-2016,ItalySicilMarsala,0,51.45,10.08
AB-1001564,ES-2016-AB1001564-40988,OFF-SU-4117,Critical,First Class,23-03-2016,3,41.85,20-03-2016,ItalySicilMarsala,0,104.67,28.11
AB-1001564,ES-2016-AB1001564-40988,TEC-PH-3139,Critical,First Class,23-03-2016,2,13.596,20-03-2016,ItalySicilMarsala,0.4,81.756,31.94
AB-1001564,ES-2016-AB1001564-41150,FUR-FU-6258,High,Second Class,31-08-2016,4,9,29-08-2016,ItalyVenetVicenza,0,100.64,9.1
AB-1001564,ES-2016-AB1001564-41150,OFF-SU-4121,High,Second Class,31-08-2016,3,33.57,29-08-2016,ItalyVenetVicenza,0,95.765,11.08
AB-1001582,MX-2016-AB1001582-41215,TEC-PH-3152,High,First Class,04-11-2016,1,18.08,02-11-2016,MexicJalisGuadalajara,0,151.823,8.347
AB-10060107,RO-2016-AB10060107-41223,OFF-AR-3531,Critical,First Class,13-11-2016,1,4.71,10-11-2016,RomanMehedDrobeta-Turnu Severin,0,19.03333333,4.54
AB-10060113,ID-2016-AB10060113-40915,OFF-LA-5403,Medium,Standard Class,12-01-2016,2,5.46,07-01-2016,SingaSingaSingapore,0,23.53666667,1.89
AB-1006039,MX-2016-AB1006039-41017,OFF-SU-6172,High,Same Day,18-04-2016,3,16.14,18-04-2016,El SaSan SSoyapango,0,88.034,4.856
AB-1006059,IN-2016-AB1006059-41060,FUR-CH-4559,Medium,First Class,02-06-2016,3,35.1891,31-05-2016,IndonBaliDenpasar,0.27,277.527,5.64
AB-1006059,IN-2016-AB1006059-41060,FUR-CH-4562,Medium,First Class,02-06-2016,8,298.5096,31-05-2016,IndonBaliDenpasar,0.27,1066.1796,202.94
AB-100607,IN-2016-AB100607-40991,OFF-FA-2953,Medium,Standard Class,29-03-2016,2,10.644,23-03-2016,AustrNew SSydney,0.1,33.924,1.32
AB-101051402,CA-2016-AB10105140-41262,OFF-BI-4827,Medium,First Class,22-12-2016,3,496.7865,19-12-2016,UniteIndiaIndianapolis,0,1207.025,63.82
AB-101051402,CA-2016-AB10105140-41262,OFF-LA-3206,Medium,First Class,22-12-2016,1,1.7343,19-12-2016,UniteIndiaIndianapolis,0,3.69,1.39
AB-1010558,IN-2016-AB1010558-41270,FUR-FU-3952,Critical,First Class,28-12-2016,4,74.28,27-12-2016,IndiaKeralKochi,0,195.72,57.65
AB-1010558,IN-2016-AB1010558-41270,FUR-FU-6277,Critical,First Class,28-12-2016,1,9.33,27-12-2016,IndiaKeralKochi,0,25.23,7.23
AB-1010558,IN-2016-AB1010558-41270,TEC-AC-5099,Critical,First Class,28-12-2016,2,23.76,27-12-2016,IndiaKeralKochi,0,61.02,17.52
AB-1010558,IN-2016-AB1010558-41270,TEC-CO-6010,Critical,First Class,28-12-2016,3,394.65,27-12-2016,IndiaKeralKochi,0,1066.68,383.68
AB-1010582,US-2016-AB1010582-41194,FUR-FU-3955,High,First Class,14-10-2016,3,-2.58,12-10-2016,MexicPueblPuebla,0.4,50.31424658,4.01
AB-101501406,CA-2016-AB10150140-40972,OFF-AR-5325,Medium,Second Class,07-03-2016,3,15.4752,04-03-2016,UniteNew YYonkers,0,61.35,8.02
AB-101501406,CA-2016-AB10150140-40972,OFF-BI-4378,Medium,Second Class,07-03-2016,6,16.7508,04-03-2016,UniteNew YYonkers,0.2,80.032,7.52
AB-101501406,CA-2016-AB10150140-40972,OFF-PA-6441,Medium,Second Class,07-03-2016,2,45.9754,04-03-2016,UniteNew YYonkers,0,97.82,10.13
AB-101501406,CA-2016-AB10150140-40972,OFF-SU-2972,Medium,Second Class,07-03-2016,2,5.3998,04-03-2016,UniteNew YYonkers,0,19.82142857,1.91
AB-101501406,CA-2016-AB10150140-40972,TEC-AC-5140,Medium,Second Class,07-03-2016,3,177.5889,04-03-2016,UniteNew YYonkers,0,550.235,55.01
AB-1015045,ES-2016-AB1015045-40933,OFF-AR-6117,Medium,Standard Class,30-01-2016,7,58.59,25-01-2016,FrancIle-dMaisons-Alfort,0,202.076,16.94
AB-1015093,MX-2016-AB1015093-41101,OFF-ST-6031,Medium,Second Class,15-07-2016,7,273.56,11-07-2016,NicarManagManagua,0,1222.279,19.955
AB-101651402,US-2016-AB10165140-41228,FUR-CH-5790,High,Standard Class,19-11-2016,2,-1.0656,15-11-2016,UniteIllinDecatur,0.3,39.588,4.4
AB-1016545,ES-2016-AB1016545-40957,OFF-BI-3290,Medium,Standard Class,23-02-2016,4,8.4,18-02-2016,FrancIle-dParis,0,32.67,2.77
AB-1016545,ES-2016-AB1016545-40957,TEC-MA-5538,Medium,Standard Class,23-02-2016,3,-1.53,18-02-2016,FrancIle-dParis,0.15,154.8196386,13.21
AB-1016545,ES-2016-AB1016545-41180,OFF-AR-3547,Medium,Standard Class,04-10-2016,8,38.16,28-09-2016,FrancIle-dCourbevoie,0,157.09,5.23
AB-1016545,ES-2016-AB1016545-41180,OFF-LA-6043,Medium,Standard Class,04-10-2016,4,5.04,28-09-2016,FrancIle-dCourbevoie,0,48.78,1.42
AB-1016545,ES-2016-AB1016545-41180,OFF-SU-6178,Medium,Standard Class,04-10-2016,2,30.42,28-09-2016,FrancIle-dCourbevoie,0,102.0466667,9.6
AB-1016551,MX-2016-AB1016551-41075,TEC-PH-3142,Medium,Second Class,18-06-2016,3,30,15-06-2016,GuateGuateVilla Canales,0,229.487,11.098
AB-102551404,CA-2016-AB10255140-41111,OFF-AR-3853,Medium,Standard Class,27-07-2016,6,6.4944,21-07-2016,UniteCalifLos Angeles,0,28.96,1.37
AB-1025518,US-2016-AB1025518-41142,OFF-FA-5484,High,Standard Class,25-08-2016,3,-15.12,21-08-2016,BraziBahiaSalvador,0.6,17.378,1.486
AB-1025527,IN-2016-AB1025527-41263,OFF-ST-4284,Medium,Standard Class,27-12-2016,2,15,20-12-2016,ChinaHubeiLaohekou,0,144.88,4.58
AB-1025527,IN-2016-AB1025527-41263,OFF-ST-5691,Medium,Standard Class,27-12-2016,3,156.06,20-12-2016,ChinaHubeiLaohekou,0,547.55,47.71
AB-1025545,ES-2016-AB1025545-41225,OFF-BI-2881,Low,Standard Class,18-11-2016,3,15.03,12-11-2016,FrancNormaLisieux,0,116.235,9.33
AB-1025545,ES-2016-AB1025545-41225,OFF-SU-6177,Low,Standard Class,18-11-2016,3,12.96,12-11-2016,FrancNormaLisieux,0,176.7525,9.45
AB-1025548,ES-2016-AB1025548-41174,FUR-BO-5769,Low,Standard Class,28-09-2016,3,155.016,22-09-2016,GermaSaxonMagdeburg,0.1,453.086,51.61
AB-1025558,IN-2016-AB1025558-41185,OFF-SU-4310,Medium,Standard Class,08-10-2016,2,4.92,03-10-2016,IndiaMadhyDewas,0,56.52666667,1.6
AB-1025582,MX-2016-AB1025582-41159,OFF-BI-2884,Medium,Second Class,12-09-2016,2,4.44,07-09-2016,MexicJalisTlaquepaque,0,69.179,5.181
AB-1025582,US-2016-AB1025582-40928,FUR-BO-3640,Medium,Standard Class,25-01-2016,1,-34.252,20-01-2016,MexicDistrMexico City,0.2,367.6956667,17.083
AB-10549,GH-2016-AB10549-41046,TEC-MA-6134,High,Standard Class,22-05-2016,2,1.5,17-05-2016,GhanaEasteKoforidua,0,91.7288755,8.73
AB-10600130,IN-2016-AB10600130-41094,FUR-FU-6276,Medium,Standard Class,08-07-2016,2,1.4634,04-07-2016,ThailBangkBangkok,0.27,46.542275,2.49
AB-106001402,CA-2016-AB10600140-41230,OFF-BI-4377,Low,Standard Class,24-11-2016,5,-23.892,17-11-2016,UniteIllinChicago,0.8,17.83,1.85
AB-1060064,ES-2016-AB1060064-40927,OFF-EN-4431,High,First Class,21-01-2016,3,21.24,19-01-2016,ItalyLombaSesto San Giovanni,0,61.78,3.54
AB-15137,UP-2016-AB15137-41046,OFF-SU-4129,High,First Class,19-05-2016,1,1.14,17-05-2016,UkraiMykolMykolayiv,0,22.76923077,2.19
AB-165103,PL-2016-AB165103-41170,FUR-FU-6241,High,Second Class,23-09-2016,2,28.92,18-09-2016,PolanPodlaBialystok,0,87.78,10.51
AB-255117,SF-2016-AB255117-41228,OFF-BI-3253,Low,Standard Class,21-11-2016,2,10.02,15-11-2016,SouthWesteCape Town,0,30.96888889,2.52
AB-255117,SF-2016-AB255117-41228,TEC-CO-3604,Low,Standard Class,21-11-2016,2,89.46,15-11-2016,SouthWesteCape Town,0,288.66,59.28
AB-60042,EN-2016-AB60042-40932,FUR-CH-4681,Medium,Same Day,24-01-2016,1,63.87,24-01-2016,EstonHarjuTallinn,0,148.99,15.16
AB-60042,EN-2016-AB60042-40932,OFF-AP-3578,Medium,Same Day,24-01-2016,1,61.68,24-01-2016,EstonHarjuTallinn,0,560.97,133.57
AB-60042,EN-2016-AB60042-40932,TEC-PH-3806,Medium,Same Day,24-01-2016,2,286.56,24-01-2016,EstonHarjuTallinn,0,1413.45,234.73
AC-10420120,ES-2016-AC10420120-41136,FUR-FU-3038,Medium,First Class,16-08-2016,3,12.24,15-08-2016,SpainCatalSant Boi de Llobregat,0,56.65,5.9
AC-104201404,CA-2016-AC10420140-41101,FUR-TA-4622,High,Standard Class,16-07-2016,3,-17.4588,11-07-2016,UniteCalifSan Francisco,0.2,787.4597143,90.81
AC-104201404,CA-2016-AC10420140-41101,OFF-BI-6321,High,Standard Class,16-07-2016,2,2.7956,11-07-2016,UniteCalifSan Francisco,0.2,11.332,2.02
AC-1042018,US-2016-AC1042018-41136,TEC-AC-3397,Medium,First Class,18-08-2016,4,-74.32,15-08-2016,BraziAlagoSão Miguel dos Campos,0.6,112.623,8.593
AC-1042018,US-2016-AC1042018-41136,TEC-PH-5335,Medium,First Class,18-08-2016,2,-38.472,15-08-2016,BraziAlagoSão Miguel dos Campos,0.6,175.1716667,2.767
AC-1042031,MX-2016-AC1042031-41136,TEC-AC-3397,High,First Class,18-08-2016,4,20.48,15-08-2016,CubaVillaSanta Clara,0,283.156,19.884
AC-1042031,MX-2016-AC1042031-41136,TEC-PH-5335,High,First Class,18-08-2016,2,97.2,15-08-2016,CubaVillaSanta Clara,0,406.4196667,38.427
AC-104501404,US-2016-AC10450140-41212,TEC-PH-5607,Critical,Second Class,02-11-2016,8,83.5128,30-10-2016,UniteArizoAvondale,0.2,742.336,241.86
AC-1045045,ES-2016-AC1045045-41128,OFF-LA-4657,High,First Class,08-08-2016,6,27,07-08-2016,FrancIle-dVersailles,0,60.32,7.51
AC-104507,IN-2016-AC104507-41166,OFF-ST-4296,High,Standard Class,19-09-2016,5,8.37,14-09-2016,AustrTasmaBurnie,0.1,314.7475,11.21
AC-1061536,US-2016-AC1061536-41221,TEC-MA-5499,Medium,Standard Class,12-11-2016,5,-191.76,08-11-2016,DominPeravBaní,0.7,286.946037,13.951
AC-1061551,MX-2016-AC1061551-41163,TEC-CO-3587,Low,Standard Class,18-09-2016,1,72.57268,11-09-2016,GuateChimaChimaltenango,0.002,321.0862667,10.782
AC-106157,IN-2016-AC106157-41087,OFF-FA-6194,Low,Standard Class,04-07-2016,3,4.761,27-06-2016,AustrQueenBrisbane,0.1,37.20081132,5.08
AC-10660139,ES-2016-AC10660139-41067,OFF-EN-3654,High,Standard Class,11-06-2016,5,35.4,07-06-2016,UniteEnglaChatham,0,117.5677778,12.46
AC-106601406,US-2016-AC10660140-41196,FUR-CH-4413,Critical,First Class,16-10-2016,2,-7.8588,14-10-2016,UniteOhioParma,0.3,183.372,52.76
AC-106601406,US-2016-AC10660140-41196,OFF-PA-6447,Critical,First Class,16-10-2016,2,2.8884,14-10-2016,UniteOhioParma,0.2,7.968,3.82
AC-1066018,MX-2016-AC1066018-41230,OFF-BI-2894,Medium,Second Class,22-11-2016,2,1.64,17-11-2016,BraziRio dDuque de Caxias,0,36.273,2.587
AC-1066027,IN-2016-AC1066027-41187,FUR-FU-4042,High,Second Class,09-10-2016,9,157.14,05-10-2016,ChinaHunanChangsha,0,469.92,14.19
AC-1066027,IN-2016-AC1066027-41187,OFF-LA-5399,High,Second Class,09-10-2016,2,1.86,05-10-2016,ChinaHunanChangsha,0,12.88,1.16
AC-1066045,ES-2016-AC1066045-41065,OFF-AR-3525,Medium,First Class,08-06-2016,6,80.46,05-06-2016,FrancProveMarseille,0,408.1133333,14.64
AC-42022,CM-2016-AC42022-41073,OFF-BI-3721,High,Second Class,16-06-2016,1,0.75,13-06-2016,CamerOuestBafoussam,0,17.73,2.3
AC-42022,CM-2016-AC42022-41073,OFF-BI-6377,High,Second Class,16-06-2016,1,2.76,13-06-2016,CamerOuestBafoussam,0,14.346,1.91
AC-42022,CM-2016-AC42022-41073,TEC-PH-3145,High,Second Class,16-06-2016,1,13.65,13-06-2016,CamerOuestBafoussam,0,161.995,14.62
AC-4203,AG-2016-AC4203-40915,OFF-AR-6127,Medium,Standard Class,11-01-2016,2,14.58,07-01-2016,AlgerAlgerAlgiers,0,127.58,4.36
AC-615137,UP-2016-AC615137-41028,FUR-CH-5369,Low,Standard Class,05-05-2016,2,23.1,29-04-2016,UkraiLuhanStakhanov,0,104.3877778,10.01
AC-61569,KE-2016-AC61569-41182,OFF-AP-3856,High,Standard Class,04-10-2016,1,0.66,30-09-2016,KenyaNairoNairobi,0,78.13626506,5.85
AC-61569,KE-2016-AC61569-41182,OFF-BI-4823,High,Standard Class,04-10-2016,2,4.98,30-09-2016,KenyaNairoNairobi,0,18.95,1.95
AC-61569,KE-2016-AC61569-41182,TEC-AC-5895,High,Standard Class,04-10-2016,4,406.56,30-09-2016,KenyaNairoNairobi,0,1208.32,93.04
AD-101801402,US-2016-AD10180140-41268,FUR-CH-4400,High,Second Class,27-12-2016,3,-8.5794,25-12-2016,UniteTexasHouston,0.3,604.873625,58.54
AD-101801406,CA-2016-AD10180140-41231,OFF-PA-2856,Medium,Second Class,21-11-2016,1,1.9845,18-11-2016,UnitePennsPhiladelphia,0.2,5.88,1.76
AD-1018018,MX-2016-AD1018018-41136,FUR-CH-4681,High,First Class,16-08-2016,3,5.28,15-08-2016,BraziAmazoManaus,0,434.879,57.571
AD-1018018,MX-2016-AD1018018-41136,FUR-CH-4702,High,First Class,16-08-2016,5,145,15-08-2016,BraziAmazoManaus,0,894.531,128.494
AF-10870102,ID-2016-AF10870102-40997,FUR-CH-5773,Medium,Standard Class,02-04-2016,2,-167.04,29-03-2016,PhiliNatioManila,0.25,866.68,50.9
AF-10870102,ID-2016-AF10870102-40997,FUR-FU-4103,Medium,Standard Class,02-04-2016,2,1.095,29-03-2016,PhiliNatioManila,0.25,52.43,3.39
AF-10870102,ID-2016-AF10870102-40997,FUR-FU-6236,Medium,Standard Class,02-04-2016,6,-24.255,29-03-2016,PhiliNatioManila,0.25,263.37,21.75
AF-10870102,ID-2016-AF10870102-40997,OFF-FA-2940,Medium,Standard Class,02-04-2016,6,-41.787,29-03-2016,PhiliNatioManila,0.45,76.073,5.96
AF-10870102,ID-2016-AF10870102-40997,OFF-FA-2958,Medium,Standard Class,02-04-2016,5,-24.4575,29-03-2016,PhiliNatioManila,0.45,35.93625,3.65
AF-10870102,ID-2016-AF10870102-40997,OFF-SU-6181,Medium,Standard Class,02-04-2016,1,-11.1375,29-03-2016,PhiliNatioManila,0.45,26.36275,1.8
AF-10870102,ID-2016-AF10870102-40997,TEC-CO-3683,Medium,Standard Class,02-04-2016,2,57.294,29-03-2016,PhiliNatioManila,0.35,334.3835,15.83
AF-10870102,ID-2016-AF10870102-40997,TEC-MA-5006,Medium,Standard Class,02-04-2016,1,59.2275,29-03-2016,PhiliNatioManila,0.25,236.73,32.01
AF-10870102,ID-2016-AF10870102-40997,TEC-MA-5514,Medium,Standard Class,02-04-2016,5,-110.7375,29-03-2016,PhiliNatioManila,0.25,576.7875,28.45
AF-1087014,ES-2016-AF1087014-41179,OFF-AP-4738,Medium,Standard Class,02-10-2016,8,839.04,27-09-2016,BelgiEast Ghent,0,5111.49,284.51
AF-1087031,MX-2016-AF1087031-41208,FUR-BO-3892,High,Standard Class,30-10-2016,8,1073.44,26-10-2016,CubaVillaSanta Clara,0,3787.83,88.73
AF-1087031,MX-2016-AF1087031-41208,OFF-BI-3719,High,Standard Class,30-10-2016,3,3.42,26-10-2016,CubaVillaSanta Clara,0,42.907,4.523
AF-1087031,MX-2016-AF1087031-41208,TEC-PH-5355,High,Standard Class,30-10-2016,3,293.16,26-10-2016,CubaVillaSanta Clara,0,2348.289,163.701
AF-1087034,IT-2016-AF1087034-41195,TEC-PH-5261,Medium,Standard Class,18-10-2016,3,-13.005,13-10-2016,DenmaHovedCopenhagen,0.5,121.4231928,8.4
AF-1087059,IN-2016-AF1087059-41217,OFF-AR-6110,Medium,First Class,05-11-2016,5,2.205,04-11-2016,IndonSumatMedan,0.27,62.975,6.74
AF-1087059,IN-2016-AF1087059-41217,OFF-PA-5886,Medium,First Class,05-11-2016,3,2.6838,04-11-2016,IndonSumatMedan,0.47,57.4842,3.54
AF-108707,IN-2016-AF108707-41153,FUR-CH-4629,Low,Standard Class,08-09-2016,5,33.15,01-09-2016,AustrNew SPort Macquarie,0.1,237.7,31.13
AF-108707,IN-2016-AF108707-41153,FUR-FU-3036,Low,Standard Class,08-09-2016,1,8.013,01-09-2016,AustrNew SPort Macquarie,0.1,19.403,2.83
AF-108707,IN-2016-AF108707-41153,FUR-FU-6243,Low,Standard Class,08-09-2016,6,4.788,01-09-2016,AustrNew SPort Macquarie,0.1,225.512,28.36
AF-1087092,ID-2016-AF1087092-41058,OFF-EN-5039,High,First Class,31-05-2016,2,-14.892,29-05-2016,New ZAucklAuckland,0.4,31.788,6.49
AF-10885139,ES-2016-AF10885139-41065,OFF-AP-3568,Medium,Standard Class,09-06-2016,4,75.036,05-06-2016,UniteEnglaLondon,0.1,237.636,16.74
AF-108851406,CA-2016-AF10885140-41038,FUR-BO-3409,Medium,Second Class,13-05-2016,7,-216.9783,09-05-2016,UnitePennsPhiladelphia,0.5,360.7783333,39.47
AF-108851406,CA-2016-AF10885140-41038,OFF-AR-3973,Medium,Second Class,13-05-2016,5,5.301,09-05-2016,UnitePennsPhiladelphia,0.2,27.73,1.47
AF-108851406,CA-2016-AF10885140-41163,OFF-BI-5636,Medium,Standard Class,16-09-2016,7,-46.8776,11-09-2016,UniteOhioFairfield,0.7,71.519,6.25
AF-1088545,IT-2016-AF1088545-41150,OFF-ST-6281,Medium,Standard Class,04-09-2016,3,17.847,29-08-2016,FrancProveVallauris,0.1,190.327,11.78
AF-1088545,IT-2016-AF1088545-41150,TEC-MA-5017,Medium,Standard Class,04-09-2016,3,-96.498,29-08-2016,FrancProveVallauris,0.15,825.055,48.15
AF-108855,MX-2016-AF108855-40995,OFF-LA-6027,High,Standard Class,31-03-2016,3,2.688,27-03-2016,ArgenSaltaSalta,0.4,29.524,1.388
